cell,donor_id,group,cell_type
DEMO_CELL_099,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_100,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_101,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_102,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_103,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_104,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_105,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_106,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_107,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_108,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_109,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_110,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_111,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_112,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_113,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_114,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_115,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_116,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_117,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_118,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_119,DEMO_DONOR_06,LOY,CD8 T
DEMO_CELL_120,DEMO_DONOR_06,LOY,CD8 T
