gene,DEMO_CELL_001,DEMO_CELL_002,DEMO_CELL_003,DEMO_CELL_004,DEMO_CELL_005,DEMO_CELL_006,DEMO_CELL_007,DEMO_CELL_008,DEMO_CELL_009,DEMO_CELL_010,DEMO_CELL_011,DEMO_CELL_012,DEMO_CELL_013,DEMO_CELL_014,DEMO_CELL_015,DEMO_CELL_016,DEMO_CELL_017,DEMO_CELL_018,DEMO_CELL_019,DEMO_CELL_020,DEMO_CELL_021,DEMO_CELL_022,DEMO_CELL_023,DEMO_CELL_024,DEMO_CELL_025,DEMO_CELL_026,DEMO_CELL_027,DEMO_CELL_028,DEMO_CELL_029,DEMO_CELL_030,DEMO_CELL_031,DEMO_CELL_032,DEMO_CELL_033,DEMO_CELL_034,DEMO_CELL_035,DEMO_CELL_036,DEMO_CELL_037,DEMO_CELL_038,DEMO_CELL_039,DEMO_CELL_040,DEMO_CELL_041,DEMO_CELL_042,DEMO_CELL_043,DEMO_CELL_044,DEMO_CELL_045,DEMO_CELL_046,DEMO_CELL_047,DEMO_CELL_048,DEMO_CELL_049,DEMO_CELL_050,DEMO_CELL_051,DEMO_CELL_052,DEMO_CELL_053,DEMO_CELL_054,DEMO_CELL_055,DEMO_CELL_056,DEMO_CELL_057,DEMO_CELL_058,DEMO_CELL_059,DEMO_CELL_060,DEMO_CELL_061,DEMO_CELL_062,DEMO_CELL_063,DEMO_CELL_064,DEMO_CELL_065,DEMO_CELL_066,DEMO_CELL_067,DEMO_CELL_068,DEMO_CELL_069,DEMO_CELL_070,DEMO_CELL_071,DEMO_CELL_072,DEMO_CELL_073,DEMO_CELL_074,DEMO_CELL_075,DEMO_CELL_076,DEMO_CELL_077,DEMO_CELL_078,DEMO_CELL_079,DEMO_CELL_080,DEMO_CELL_081,DEMO_CELL_082,DEMO_CELL_083,DEMO_CELL_084,DEMO_CELL_085,DEMO_CELL_086,DEMO_CELL_087,DEMO_CELL_088,DEMO_CELL_089,DEMO_CELL_090,DEMO_CELL_091,DEMO_CELL_092,DEMO_CELL_093,DEMO_CELL_094,DEMO_CELL_095,DEMO_CELL_096,DEMO_CELL_097,DEMO_CELL_098,DEMO_CELL_099,DEMO_CELL_100,DEMO_CELL_101,DEMO_CELL_102,DEMO_CELL_103,DEMO_CELL_104,DEMO_CELL_105,DEMO_CELL_106,DEMO_CELL_107,DEMO_CELL_108,DEMO_CELL_109,DEMO_CELL_110,DEMO_CELL_111,DEMO_CELL_112,DEMO_CELL_113,DEMO_CELL_114,DEMO_CELL_115,DEMO_CELL_116,DEMO_CELL_117,DEMO_CELL_118,DEMO_CELL_119,DEMO_CELL_120
SIMGENE0011,0,0,1,1,0,0,1,0,0,0,2,0,1,1,1,2,1,1,0,1,1,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,2,2,1,2,1,0,2,1,1,0,3,0,1,0,5,4,1,5,2,1,3,3,0,5,3,1,2,4,4,0,2,2,1,1,3,1,2,1,0,0,2,1,3,2,2,1,1,2,2,2,2,0,2,4,7,2,1,3,2,10,1,5,5,2,3,4,2,2,4,1,4,4,2
SIMGENE0012,14,28,24,9,21,6,31,6,19,18,8,28,18,3,4,14,12,7,15,10,8,5,2,8,9,12,13,6,7,22,12,3,6,8,5,5,11,5,10,7,7,14,2,5,24,17,4,3,15,4,11,2,7,9,11,12,7,9,8,14,19,8,28,15,5,41,10,50,47,50,71,24,56,42,61,80,84,41,42,11,93,11,27,6,5,57,28,20,12,32,22,34,29,38,6,53,19,71,11,69,16,13,9,30,13,30,23,35,22,11,28,12,31,33,9,2,23,20,47,35
SIMGENE0013,2,4,5,7,5,11,2,5,4,1,4,3,3,2,6,0,3,2,3,1,2,5,2,6,5,1,5,1,6,1,8,2,8,4,2,6,3,0,2,7,3,5,5,2,3,3,2,3,4,1,5,3,1,3,7,11,1,1,0,1,11,9,22,11,9,11,4,7,12,7,2,4,16,6,16,1,6,16,0,4,2,12,6,15,15,5,1,3,5,9,18,7,7,10,5,11,10,34,7,5,5,5,8,8,12,7,6,4,3,4,10,5,1,3,4,8,12,8,3,4
SIMGENE0014,7,5,3,8,4,9,26,16,13,5,5,5,18,16,9,11,13,10,17,15,9,41,7,19,5,3,6,31,33,1,7,5,11,3,21,11,3,7,7,24,6,10,9,9,9,21,11,2,10,9,8,8,11,10,20,5,20,14,2,6,69,23,78,54,43,44,29,69,49,8,81,46,21,35,29,134,27,35,22,50,24,33,36,39,11,19,6,10,9,18,9,7,17,60,28,31,24,16,3,31,8,50,34,36,24,14,8,14,12,24,24,21,95,17,27,1,8,24,18,48
SIMGENE0015,1,0,1,1,3,1,1,1,1,0,3,0,0,1,2,1,2,1,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,2,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,3,4,4,1,1,2,1,1,1,4,3,4,0,1,3,1,1,0,5,1,5,2,6,2,4,2,2,4,6,1,4,7,3,1,4,0,5,1,1,2,4,1,8,1,6,0,7,5,3,3,1,3,5,5,9,2,4,1,4,1
SIMGENE0016,1,0,9,3,4,1,4,2,8,3,12,1,16,3,18,1,6,8,10,2,11,13,4,8,1,2,9,10,4,2,4,14,1,4,5,8,14,10,2,10,11,5,9,1,6,6,14,6,2,10,7,4,12,4,10,3,9,6,10,6,41,15,11,29,16,38,26,15,55,37,9,45,7,22,64,34,36,53,29,8,19,4,28,14,54,41,1,27,30,10,21,35,9,70,53,25,2,37,70,8,29,6,2,4,46,38,7,16,12,30,6,9,33,24,12,9,20,14,21,21
SIMGENE0017,1,4,2,3,6,1,5,0,0,11,1,2,4,5,3,8,2,5,1,2,4,5,6,2,1,6,2,2,4,4,3,1,3,0,3,4,3,1,7,2,4,4,0,3,3,9,3,1,10,2,3,8,3,1,7,1,1,1,17,6,2,4,8,9,11,3,22,13,6,5,4,5,4,2,6,12,8,5,12,7,12,15,39,3,17,24,6,21,13,11,16,0,11,4,5,15,11,17,3,9,5,10,14,8,10,21,8,25,9,6,7,3,14,7,22,10,19,5,12,6
SIMGENE0018,3,4,0,5,4,6,8,2,1,5,3,5,7,10,9,4,3,4,5,5,2,7,5,2,3,6,4,3,9,2,9,5,7,10,5,8,7,11,29,6,2,8,2,4,10,7,4,1,6,15,11,4,21,4,2,3,5,7,9,3,14,1,17,10,18,24,9,20,17,21,8,14,21,4,13,9,21,31,26,14,24,39,49,15,8,16,35,22,5,15,21,16,17,27,15,7,26,16,7,31,5,17,12,19,40,14,9,22,12,6,9,29,18,8,9,3,3,5,7,56
SIMGENE0019,6,2,3,0,1,5,2,4,2,3,3,3,2,2,6,3,1,0,1,6,3,7,4,0,6,3,2,1,2,1,8,2,1,3,2,2,3,5,2,6,2,1,4,1,1,1,2,7,2,3,2,1,4,4,1,0,2,2,1,2,7,3,9,2,7,8,21,6,5,13,15,25,9,7,3,15,13,6,6,9,7,15,4,6,5,22,5,29,9,8,7,16,7,4,6,10,4,15,9,6,2,1,3,3,5,7,3,13,3,1,6,1,14,1,8,8,7,3,1,5
SIMGENE0020,9,8,6,4,14,9,21,3,2,9,15,6,4,15,17,15,14,6,11,9,17,10,9,6,4,2,6,8,8,8,14,7,10,8,5,7,6,11,4,5,11,25,9,10,5,8,4,7,1,4,14,9,19,10,23,16,37,12,7,2,14,17,50,19,52,20,44,44,42,26,21,10,5,35,47,31,9,46,27,25,14,69,21,37,18,12,29,22,38,11,43,25,8,6,10,15,5,33,6,46,12,24,58,52,58,23,38,24,105,8,11,20,25,13,63,11,29,16,12,82
SIMGENE0021,6,15,2,4,6,5,18,3,13,4,1,5,2,12,4,5,7,4,19,3,4,4,4,18,4,5,5,2,9,3,9,10,2,7,3,17,8,4,7,4,5,6,5,9,4,4,1,9,6,2,2,4,3,4,8,12,5,3,2,4,1,1,0,1,1,1,1,1,2,1,1,2,1,3,2,2,2,1,1,1,0,4,3,2,3,2,2,1,1,3,2,2,3,5,1,1,1,1,2,1,4,4,2,3,1,5,0,5,10,1,5,1,2,3,1,2,2,6,3,4
SIMGENE0022,1,9,6,2,4,2,4,8,2,7,8,3,1,2,3,1,3,2,3,5,6,9,3,3,4,4,2,1,4,5,2,4,3,1,5,0,2,3,7,4,3,5,4,4,2,0,3,4,2,2,1,3,5,1,1,2,3,2,6,1,2,1,1,1,4,1,1,2,1,2,2,1,1,0,1,1,0,1,2,7,2,2,1,1,1,1,1,3,0,0,1,1,3,2,2,0,1,1,0,1,2,0,2,1,2,1,3,3,3,3,0,1,1,2,1,1,1,4,1,1
SIMGENE0023,17,3,8,1,7,10,6,4,4,8,11,14,6,8,19,1,12,12,10,3,8,12,10,13,3,3,8,8,15,16,1,10,7,9,11,14,11,8,3,2,4,6,10,9,3,6,3,17,7,4,7,4,11,8,1,11,3,11,4,1,5,5,3,1,1,4,1,6,1,1,0,3,1,3,1,0,1,2,1,1,5,1,12,1,0,2,4,4,5,7,3,2,2,3,1,1,1,2,8,2,2,1,3,2,2,4,0,2,5,3,0,2,1,5,1,3,2,2,2,4
SIMGENE0024,4,1,1,1,1,1,1,1,0,0,2,1,3,5,4,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,3,2,1,0,0,1,1,1,1,1,2,0,1,1,1,1,2,1,1,1,2,1,5,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
SIMGENE0025,18,41,27,20,7,36,14,5,20,21,3,10,15,8,13,0,5,2,29,16,17,38,4,23,11,5,15,2,8,2,10,15,14,20,13,9,22,8,3,9,7,19,2,24,8,33,5,16,8,6,5,8,7,26,5,48,3,5,1,12,8,3,7,2,3,4,1,1,3,2,2,4,3,5,3,8,7,3,1,2,5,2,7,2,4,2,5,5,5,13,5,5,2,3,1,2,5,2,2,1,1,0,3,4,5,5,3,1,2,4,11,3,1,1,1,6,3,1,2,3
SIMGENE0026,3,9,8,23,22,15,8,14,4,11,25,12,23,7,7,6,4,9,9,2,10,5,10,20,14,22,15,10,13,28,8,36,26,18,5,11,14,3,12,6,10,38,8,31,34,8,42,7,19,10,13,19,16,10,14,11,16,20,7,9,10,3,1,0,2,2,4,1,5,3,1,1,2,5,3,2,4,2,1,5,3,10,4,1,4,3,2,6,3,3,6,2,4,2,4,5,3,11,3,1,2,4,1,5,1,6,6,4,5,2,7,7,5,4,3,1,3,3,5,1
SIMGENE0027,9,22,6,4,8,5,2,1,4,5,20,3,10,6,5,4,5,4,15,0,5,10,23,7,5,5,5,13,5,2,5,13,5,18,15,3,6,2,11,3,4,13,6,18,2,3,6,1,4,7,2,7,11,6,0,5,0,1,12,4,1,3,2,0,2,1,8,6,0,9,2,2,1,1,3,1,1,1,2,1,1,3,1,5,5,6,2,4,3,4,5,8,3,9,4,1,3,13,4,2,4,6,0,6,9,2,3,3,8,12,2,8,3,2,11,2,3,4,5,3
SIMGENE0028,3,0,2,1,1,2,2,1,0,2,2,1,2,2,2,3,2,2,1,3,3,0,1,2,0,0,2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,2,0,1,1,2,2,0,1,3,0,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,4,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SIMGENE0029,2,0,1,3,1,1,0,1,1,2,0,3,2,1,1,1,1,0,3,2,2,1,3,0,0,2,1,4,2,2,4,2,1,1,1,0,0,1,2,1,3,1,1,2,2,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0
SIMGENE0030,2,10,3,5,6,7,4,8,12,2,2,8,2,9,4,15,5,3,4,5,3,3,10,5,4,5,7,1,10,3,4,6,4,5,1,4,10,12,9,9,7,18,3,5,3,10,4,4,7,8,0,5,3,1,8,3,16,6,4,1,2,3,3,4,1,2,0,1,0,1,2,0,1,4,0,1,0,1,1,1,1,3,1,0,0,1,1,2,1,1,1,0,0,1,2,1,1,2,1,0,2,1,1,1,1,2,0,2,2,0,3,0,1,1,1,2,1,0,1,3
SIMGENE0031,1,1,1,6,2,2,4,3,10,5,7,2,3,3,2,2,1,4,5,2,2,2,2,4,1,1,3,5,2,8,2,9,5,1,9,2,5,1,1,4,2,2,0,1,3,6,9,6,2,6,2,4,2,4,5,3,2,2,3,2,1,1,2,2,3,1,2,0,3,1,1,1,0,1,1,0,0,1,0,2,1,4,1,2,1,3,1,1,4,1,1,1,3,0,1,2,2,0,2,0,1,0,3,1,1,1,3,3,2,4,0,1,2,0,2,3,1,1,3,4
SIMGENE0032,28,26,11,19,21,17,9,16,12,10,10,46,2,2,5,6,27,0,5,4,16,1,14,15,7,4,4,16,4,8,11,13,6,16,1,20,27,15,10,15,12,1,7,39,3,6,1,1,2,5,7,21,7,5,8,5,3,8,10,2,2,5,4,1,3,3,3,2,2,1,1,3,7,5,4,1,6,2,1,4,8,3,1,7,1,1,5,0,4,4,2,2,4,1,2,3,3,2,5,3,0,2,4,6,2,6,2,8,4,2,2,1,5,7,1,7,4,1,7,8
SIMGENE0033,1,2,2,1,1,0,2,3,2,5,4,2,3,2,3,3,3,4,2,8,4,8,1,3,20,3,7,1,6,5,4,3,3,10,3,12,4,8,8,9,15,3,8,3,6,2,5,6,6,6,9,4,4,8,8,2,20,1,1,1,2,3,2,1,3,5,3,1,2,0,1,1,2,0,3,2,1,7,2,1,2,1,0,1,3,1,3,2,2,3,4,1,2,4,1,2,2,1,1,2,3,1,0,0,0,3,1,2,3,1,1,1,1,1,1,1,2,1,1,2
SIMGENE0034,1,0,1,1,1,1,1,0,1,3,0,1,7,1,1,2,2,4,0,1,4,2,3,4,4,5,3,2,8,4,1,4,1,4,5,2,5,1,1,3,0,1,0,0,1,1,2,2,1,2,1,1,3,2,3,5,4,3,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,2,0,1,1,1,1,1,0,3,1,2,0,2,0,2,0,1,0,4,1,2,0,1,1,0,2,1,1,0,0,0,2,0,1,1,1,1,1,2,0,0,1,1,0,1,1,1
SIMGENE0035,15,4,1,4,7,7,4,11,7,18,4,5,6,2,10,6,11,12,8,10,4,21,6,7,3,4,3,6,3,13,5,3,3,8,8,3,9,3,17,2,5,16,2,5,3,15,2,2,7,3,5,6,8,6,1,6,2,3,4,7,5,2,1,5,1,5,2,5,6,7,2,2,2,3,3,1,2,1,2,1,2,0,1,3,2,0,2,1,0,2,2,5,3,2,3,2,1,5,2,4,0,5,1,3,2,2,1,1,2,4,1,2,1,0,2,0,1,2,0,3
SIMGENE0036,3,3,3,2,1,0,6,1,1,2,2,2,6,1,2,3,1,0,2,1,3,4,5,7,2,6,1,4,1,3,4,1,1,5,5,4,1,3,2,3,1,1,3,3,2,2,3,3,1,2,4,0,1,2,3,4,5,1,2,1,0,0,0,0,1,1,0,0,1,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0,2,1,2,1,1,0,3,0,1,0,0,1,2,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
SIMGENE0037,3,2,1,1,4,6,2,1,2,1,0,3,2,2,0,2,0,3,2,1,3,6,0,1,5,2,1,2,3,3,2,1,1,2,1,5,1,3,7,1,1,1,2,0,2,3,0,3,1,1,1,1,1,3,2,1,1,1,2,1,1,0,0,2,1,3,1,0,1,1,1,2,0,1,0,4,2,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,2,0,2,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
SIMGENE0038,1,4,2,1,9,5,0,5,0,3,5,6,2,1,1,4,4,3,3,1,2,4,3,1,6,1,2,2,3,2,1,6,4,5,5,2,5,4,1,6,6,7,5,2,7,6,7,3,8,4,1,3,4,6,2,8,9,3,1,12,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,0,1,1,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0,3,1,1,0,0,0,0,0,0,3,1,3,1,1,1,1,0,3,1,3,1,0,1,1,2,0,2
SIMGENE0039,5,13,13,5,11,7,1,6,11,16,6,8,7,15,2,1,2,7,14,2,19,15,11,5,18,6,32,17,8,19,30,4,14,3,13,6,3,3,9,5,1,5,15,10,4,8,9,14,4,10,14,9,10,3,1,5,7,1,10,32,5,4,2,4,6,1,4,2,8,1,1,5,1,3,1,2,8,1,2,10,2,2,2,2,5,4,2,0,1,1,2,7,1,5,5,2,1,1,1,1,2,4,3,4,1,12,1,5,2,6,1,2,7,3,0,4,2,2,3,2
SIMGENE0040,5,8,1,14,3,3,7,1,13,1,1,10,1,2,5,2,4,9,4,4,6,8,19,13,6,15,3,8,9,3,20,4,10,5,15,27,1,11,5,2,8,6,10,0,3,4,8,3,2,2,2,6,6,3,7,14,2,2,10,12,1,11,6,4,2,4,1,7,1,1,7,2,6,2,1,0,10,4,2,3,1,1,3,2,8,2,2,0,2,2,2,0,1,1,2,0,0,4,0,1,1,0,4,4,2,2,1,2,1,0,4,1,2,0,1,1,1,4,2,1
SIMGENE0041,15,14,14,6,5,2,9,3,12,13,4,5,9,6,5,2,12,18,5,4,9,31,44,5,4,7,31,11,18,15,4,3,22,7,10,26,8,2,8,3,30,29,9,16,2,30,24,21,11,7,13,7,7,7,64,8,34,11,18,11,12,16,4,8,18,28,16,20,6,9,17,18,6,6,11,24,22,8,6,16,3,9,9,4,9,4,7,17,3,3,3,6,6,22,7,6,2,7,10,10,14,5,1,23,2,5,2,7,9,10,8,10,6,8,9,8,1,4,14,3
SIMGENE0042,11,14,6,2,2,4,6,9,4,7,8,11,7,13,14,13,0,15,7,22,7,3,6,7,6,7,9,28,36,12,4,10,26,6,2,9,16,4,19,4,11,14,8,17,9,23,22,10,11,8,14,36,10,53,14,37,34,37,4,38,13,5,10,9,2,10,7,6,13,12,1,11,6,1,15,3,3,6,11,3,2,6,7,9,13,7,11,15,11,4,12,12,4,19,0,7,5,9,22,4,13,13,3,23,6,5,3,4,5,14,1,11,13,4,5,16,1,16,4,3
SIMGENE0043,5,6,6,2,5,8,10,4,10,12,7,11,7,9,9,6,2,5,6,6,7,7,22,5,16,8,4,9,2,18,14,6,1,5,10,5,14,18,22,10,1,3,7,4,7,4,5,13,2,2,4,1,9,4,11,1,8,1,3,4,2,26,19,17,5,10,23,2,4,13,6,12,7,22,12,1,4,5,13,15,8,6,9,7,7,4,12,4,5,3,10,12,7,11,5,0,7,4,3,3,2,7,9,2,13,18,9,5,7,3,11,4,3,16,9,2,2,3,5,4
SIMGENE0044,2,9,11,4,3,6,3,2,6,13,16,9,7,8,5,3,8,4,25,5,13,3,6,3,3,5,4,2,4,7,0,3,7,12,1,9,9,14,8,18,15,15,3,13,8,4,2,15,10,6,1,6,27,0,7,23,7,12,7,6,6,4,3,4,7,3,7,4,4,4,17,2,4,17,7,5,13,11,13,4,14,10,3,9,9,6,13,2,1,8,6,8,11,6,4,6,20,7,3,8,5,6,2,15,5,10,3,3,12,7,1,4,4,5,5,11,2,2,1,1
SIMGENE0045,6,11,7,2,9,7,15,5,5,2,5,10,2,3,8,10,8,6,5,4,5,6,4,4,1,11,14,1,14,21,7,2,8,6,12,1,2,0,13,6,2,5,8,6,2,5,5,4,12,6,4,3,12,5,8,3,3,3,2,8,1,6,11,1,11,2,6,4,1,9,6,11,8,10,4,5,7,3,8,1,5,1,2,3,1,3,1,8,6,1,2,2,2,3,4,1,5,5,0,4,0,6,1,2,3,1,11,4,2,2,7,6,19,14,9,10,7,14,12,10
